		(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	LABELS	S-Big	S-Small	S-Small	D-Big	D-Big	D-Small	D-Small
								
r1	R(-1)	-3.661***	-0.858***	-0.858***	1.163***	1.163***	0.255***	0.255***
		(0.116)	(0.0522)	(0.0522)	(0.0443)	(0.0443)	(0.0243)	(0.0243)
r2	R(-2, -5)	0.243***	-0.0653***	-0.0653***	-0.0404**	-0.0404**	0.0289***	0.0289***
		(0.0456)	(0.0247)	(0.0247)	(0.0199)	(0.0199)	(0.00994)	(0.00994)
r6	R(-6, -27)	0.0827***	0.00144	0.00144	-0.0434***	-0.0434***	-0.00322	-0.00322
		(0.0199)	(0.0101)	(0.0101)	(0.00839)	(0.00839)	(0.00397)	(0.00397)
r28	R(-28, -119)	-0.0102*	0.00590	0.00590	-0.00218	-0.00218	-0.00209	-0.00209
		(0.00587)	(0.00391)	(0.00391)	(0.00307)	(0.00307)	(0.00129)	(0.00129)
2.nt	nt = 2, 2	-0.161***	-0.0416***	-0.0416***	0.0637***	0.0637***	0.00862***	0.00862***
		(0.0103)	(0.0109)	(0.0109)	(0.00595)	(0.00595)	(0.00319)	(0.00319)
3.nt	nt = 3, 3	0.0171	0.0361***	0.0361***	0.0164***	0.0164***	0.00244	0.00244
		(0.0110)	(0.00909)	(0.00909)	(0.00510)	(0.00510)	(0.00281)	(0.00281)
2.l1nt	l1nt = 2, 2	-0.0597***	0.00347	0.00347	0.0405***	0.0405***	0.00671*	0.00671*
		(0.0111)	(0.0103)	(0.0103)	(0.00516)	(0.00516)	(0.00361)	(0.00361)
3.l1nt	l1nt = 3, 3	-0.0172*	0.0323***	0.0323***	0.00990**	0.00990**	-0.00354	-0.00354
		(0.00918)	(0.0102)	(0.0102)	(0.00436)	(0.00436)	(0.00323)	(0.00323)
2.l2nt	l2nt = 2, 2	-0.0712***	0.00909	0.00909	0.0340***	0.0340***	0.00324	0.00324
		(0.0130)	(0.00919)	(0.00919)	(0.00554)	(0.00554)	(0.00338)	(0.00338)
3.l2nt	l2nt = 3, 3	-0.0425***	0.0373***	0.0373***	0.0199***	0.0199***	0.00178	0.00178
		(0.0112)	(0.0100)	(0.0100)	(0.00497)	(0.00497)	(0.00303)	(0.00303)
2.wd	WeekDay = 2, 1	0.0105	0.0113***	0.0113***	-0.0108**	-0.0108**	-0.00430***	-0.00430***
		(0.0115)	(0.00389)	(0.00389)	(0.00445)	(0.00445)	(0.00155)	(0.00155)
3.wd	WeekDay = 3, 2	0.00505	0.00211	0.00211	-0.00575	-0.00575	-0.000248	-0.000248
		(0.0123)	(0.00404)	(0.00404)	(0.00492)	(0.00492)	(0.00171)	(0.00171)
4.wd	WeekDay = 4, 3	0.00938	0.00749*	0.00749*	-0.00637	-0.00637	-0.00259	-0.00259
		(0.0136)	(0.00411)	(0.00411)	(0.00553)	(0.00553)	(0.00182)	(0.00182)
5.wd	WeekDay = 5, 4	0.00299	0.00862**	0.00862**	-0.00241	-0.00241	-0.00192	-0.00192
		(0.0118)	(0.00391)	(0.00391)	(0.00452)	(0.00452)	(0.00166)	(0.00166)
2.mh	mh = 2, True	-0.139***	-0.0426***	-0.0426***	0.0186***	0.0186***	-0.00479*	-0.00479*
		(0.0112)	(0.00518)	(0.00518)	(0.00519)	(0.00519)	(0.00270)	(0.00270)
2.ml	ml = 2, True	0.0905***	0.0185***	0.0185***	-0.0273***	-0.0273***	-0.00831***	-0.00831***
		(0.0129)	(0.00455)	(0.00455)	(0.00582)	(0.00582)	(0.00296)	(0.00296)
5.jy	JYear = 5, 1391	-0.0495*	0.00506	0.00506	0.00942	0.00942	-0.0126*	-0.0126*
