		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)
VARIABLES	LABELS	S	S	S	S	S	D	D	D	D	D	D
												
r1	R(-1)	-1.676***	-1.653***	-1.653***	-1.652***	-1.652***	-0.948***	-0.948***	-0.949***	-0.949***	-0.949***	-0.949***
		(-24.76)	(-24.21)	(-24.21)	(-24.19)	(-24.19)	(-23.14)	(-23.14)	(-23.07)	(-23.07)	(-23.01)	(-23.01)
r2	R(-2, -5)	0.0410*	0.0416*	0.0416*	0.0446**	0.0446**	-0.312***	-0.312***	-0.313***	-0.313***	-0.313***	-0.313***
		(1.881)	(1.905)	(1.905)	(2.027)	(2.027)	(-13.32)	(-13.32)	(-13.33)	(-13.33)	(-13.25)	(-13.25)
r6	R(-6, -27)	0.0608***	0.0605***	0.0605***	0.0603***	0.0603***	0.0267**	0.0267**	0.0268**	0.0268**	0.0267**	0.0267**
		(6.757)	(6.736)	(6.736)	(6.714)	(6.714)	(2.553)	(2.553)	(2.554)	(2.554)	(2.546)	(2.546)
r28	R(-28, -119)	0.0103***	0.0102***	0.0102***	0.0102***	0.0102***	0.0240***	0.0240***	0.0239***	0.0239***	0.0239***	0.0239***
		(3.080)	(3.077)	(3.077)	(3.071)	(3.071)	(5.366)	(5.366)	(5.335)	(5.335)	(5.313)	(5.313)
2.nt	nt = 2, 2	-0.0724***	-0.0721***	-0.0721***	-0.0722***	-0.0722***	-0.0560***	-0.0560***	-0.0585***	-0.0585***	-0.0598***	-0.0598***
		(-11.57)	(-12.16)	(-12.16)	(-12.54)	(-12.54)	(-11.75)	(-11.75)	(-12.97)	(-12.97)	(-13.55)	(-13.55)
3.nt	nt = 3, 3	0.0441***	0.0442***	0.0442***	0.0439***	0.0439***	0.107***	0.107***	0.104***	0.104***	0.103***	0.103***
		(8.014)	(8.470)	(8.470)	(8.571)	(8.571)	(23.07)	(23.07)	(23.65)	(23.65)	(24.14)	(24.14)
2.l1nt	l1nt = 2, 2		-0.0179***	-0.0179***	-0.0179***	-0.0179***			0.0216***	0.0216***	0.0199***	0.0199***
			(-2.770)	(-2.770)	(-2.916)	(-2.916)			(5.254)	(5.254)	(5.121)	(5.121)
3.l1nt	l1nt = 3, 3		0.0173***	0.0173***	0.0170***	0.0170***			0.0218***	0.0218***	0.0197***	0.0197***
			(3.589)	(3.589)	(3.676)	(3.676)			(5.980)	(5.980)	(5.803)	(5.803)
2.l2nt	l2nt = 2, 2				-0.00868	-0.00868					0.0128***	0.0128***
					(-1.629)	(-1.629)					(3.185)	(3.185)
3.l2nt	l2nt = 3, 3				0.0132***	0.0132***					0.0199***	0.0199***
					(2.604)	(2.604)					(5.495)	(5.495)
2.wd	WeekDay = 2, 1	0.0126***	0.0126***	0.0126***	0.0126***	0.0126***	0.000990	0.000990	0.000610	0.000610	0.000665	0.000665
		(2.789)	(2.784)	(2.784)	(2.791)	(2.791)	(0.389)	(0.389)	(0.239)	(0.239)	(0.260)	(0.260)
3.wd	WeekDay = 3, 2	0.00644	0.00645	0.00645	0.00640	0.00640	-0.00478	-0.00478	-0.00486	-0.00486	-0.00510*	-0.00510*
		(1.413)	(1.415)	(1.415)	(1.398)	(1.398)	(-1.611)	(-1.611)	(-1.637)	(-1.637)	(-1.715)	(-1.715)
4.wd	WeekDay = 4, 3	0.00759	0.00760	0.00760	0.00760	0.00760	-0.00494	-0.00494	-0.00500	-0.00500	-0.00503	-0.00503
		(1.538)	(1.540)	(1.540)	(1.538)	(1.538)	(-1.482)	(-1.482)	(-1.502)	(-1.502)	(-1.511)	(-1.511)
5.wd	WeekDay = 5, 4	0.00440	0.00438	0.00438	0.00438	0.00438	-0.00929***	-0.00929***	-0.00934***	-0.00934***	-0.00934***	-0.00934***
		(0.932)	(0.929)	(0.929)	(0.929)	(0.929)	(-2.751)	(-2.751)	(-2.764)	(-2.764)	(-2.762)	(-2.762)
2.mh	mh = 2, True	-0.0782***	-0.0782***	-0.0782***	-0.0781***	-0.0781***	-0.0630***	-0.0630***	-0.0630***	-0.0630***	-0.0629***	-0.0629***
		(-18.19)	(-18.20)	(-18.20)	(-18.19)	(-18.19)	(-12.78)	(-12.78)	(-12.78)	(-12.78)	(-12.76)	(-12.76)
2.ml	ml = 2, True	0.0445***	0.0445***	0.0445***	0.0445***	0.0445***	0.0558***	0.0558***	0.0559***	0.0559***	0.0560***	0.0560***
		(10.41)	(10.41)	(10.41)	(10.42)	(10.42)	(10.94)	(10.94)	(10.94)	(10.94)	(10.96)	(10.96)
2.jy	JYear = 2, 1388	-0.00488	-0.00490	-0.00490	-0.00483	-0.00483	0.122***	0.122***	0.122***	0.122***	0.121***	0.121***
		(-0.272)	(-0.273)	(-0.273)	(-0.269)	(-0.269)	(7.140)	(7.140)	(7.112)	(7.112)	(7.099)	(7.099)
3.jy	JYear = 3, 1389	0.00293	0.00290	0.00290	0.00295	0.00295	0.130***	0.130***	0.129***	0.129***	0.129***	0.129***
		(0.164)	(0.163)	(0.163)	(0.166)	(0.166)	(7.464)	(7.464)	(7.429)	(7.429)	(7.412)	(7.412)
4.jy	JYear = 4, 1390	0.0533***	0.0533***	0.0533***	0.0533***	0.0533***	0.131***	0.131***	0.131***	0.131***	0.130***	0.130***
		(3.106)	(3.104)	(3.104)	(3.109)	(3.109)	(7.955)	(7.955)	(7.897)	(7.897)	(7.865)	(7.865)
5.jy	JYear = 5, 1391	0.0496***	0.0496***	0.0496***	0.0497***	0.0497***	0.127***	0.127***	0.127***	0.127***	0.126***	0.126***
		(2.913)	(2.915)	(2.915)	(2.923)	(2.923)	(7.477)	(7.477)	(7.430)	(7.430)	(7.406)	(7.406)
6.jy	JYear = 6, 1392	-0.0161	-0.0161	-0.0161	-0.0160	-0.0160	0.176***	0.176***	0.176***	0.176***	0.175***	0.175***
		(-0.949)	(-0.950)	(-0.950)	(-0.949)	(-0.949)	(10.76)	(10.76)	(10.69)	(10.69)	(10.66)	(10.66)
7.jy	JYear = 7, 1393	0.0650***	0.0650***	0.0650***	0.0649***	0.0649***	0.142***	0.142***	0.141***	0.141***	0.140***	0.140***
		(4.172)	(4.167)	(4.167)	(4.170)	(4.170)	(8.745)	(8.745)	(8.667)	(8.667)	(8.621)	(8.621)
8.jy	JYear = 8, 1394	0.0374**	0.0374**	0.0374**	0.0373**	0.0373**	0.160***	0.160***	0.159***	0.159***	0.158***	0.158***
		(2.211)	(2.210)	(2.210)	(2.213)	(2.213)	(10.00)	(10.00)	(9.929)	(9.929)	(9.888)	(9.888)
9.jy	JYear = 9, 1395	0.0687***	0.0687***	0.0687***	0.0687***	0.0687***	0.160***	0.160***	0.159***	0.159***	0.159***	0.159***
		(4.411)	(4.409)	(4.409)	(4.417)	(4.417)	(9.962)	(9.962)	(9.898)	(9.898)	(9.862)	(9.862)
10.jy	JYear = 10, 1396	0.0531***	0.0530***	0.0530***	0.0530***	0.0530***	0.183***	0.183***	0.182***	0.182***	0.182***	0.182***
		(3.146)	(3.143)	(3.143)	(3.148)	(3.148)	(11.21)	(11.21)	(11.15)	(11.15)	(11.12)	(11.12)
11.jy	JYear = 11, 1397	-0.0131	-0.0131	-0.0131	-0.0131	-0.0131	0.196***	0.196***	0.194***	0.194***	0.194***	0.194***
