		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)
VARIABLES	LABELS	S	S	S	S	S	D	D	D	D	D	D
												
r1	R(-1)	-2.085***	-2.046***	-2.046***	-2.046***	-2.046***	0.640***	0.640***	0.622***	0.622***	0.622***	0.622***
		(-24.08)	(-23.59)	(-23.59)	(-23.58)	(-23.58)	(22.93)	(22.93)	(22.31)	(22.31)	(22.31)	(22.31)
r2	R(-2, -5)	0.0719***	0.0733***	0.0733***	0.0780***	0.0780***	-0.000562	-0.000562	-0.00138	-0.00138	-0.00370	-0.00370
		(2.805)	(2.855)	(2.855)	(3.017)	(3.017)	(-0.0519)	(-0.0519)	(-0.127)	(-0.127)	(-0.343)	(-0.343)
r6	R(-6, -27)	0.0651***	0.0647***	0.0647***	0.0644***	0.0644***	-0.0289***	-0.0289***	-0.0287***	-0.0287***	-0.0285***	-0.0285***
		(5.672)	(5.644)	(5.644)	(5.622)	(5.622)	(-5.670)	(-5.670)	(-5.643)	(-5.643)	(-5.620)	(-5.620)
r28	R(-28, -119)	0.00598	0.00595	0.00595	0.00594	0.00594	-0.00467**	-0.00467**	-0.00467**	-0.00467**	-0.00467**	-0.00467**
		(1.434)	(1.433)	(1.433)	(1.436)	(1.436)	(-2.406)	(-2.406)	(-2.418)	(-2.418)	(-2.428)	(-2.428)
2.nt	nt = 2, 2	-0.104***	-0.102***	-0.102***	-0.102***	-0.102***	0.0341***	0.0341***	0.0330***	0.0330***	0.0325***	0.0325***
		(-11.88)	(-12.47)	(-12.47)	(-12.89)	(-12.89)	(9.092)	(9.092)	(9.378)	(9.378)	(9.548)	(9.548)
3.nt	nt = 3, 3	0.0494***	0.0505***	0.0505***	0.0511***	0.0511***	-0.000721	-0.000721	-0.00180	-0.00180	-0.00222	-0.00222
		(6.934)	(7.597)	(7.597)	(7.861)	(7.861)	(-0.252)	(-0.252)	(-0.687)	(-0.687)	(-0.879)	(-0.879)
2.l1nt	l1nt = 2, 2		-0.0370***	-0.0370***	-0.0358***	-0.0358***			0.0209***	0.0209***	0.0201***	0.0201***
			(-4.336)	(-4.336)	(-4.463)	(-4.463)			(6.542)	(6.542)	(6.718)	(6.718)
3.l1nt	l1nt = 3, 3		0.0199***	0.0199***	0.0209***	0.0209***			-0.00498**	-0.00498**	-0.00573**	-0.00573**
			(3.523)	(3.523)	(3.912)	(3.912)			(-2.033)	(-2.033)	(-2.529)	(-2.529)
2.l2nt	l2nt = 2, 2				-0.0235***	-0.0235***					0.0132***	0.0132***
					(-3.048)	(-3.048)					(4.404)	(4.404)
3.l2nt	l2nt = 3, 3				0.00727	0.00727					-0.00128	-0.00128
					(1.066)	(1.066)					(-0.487)	(-0.487)
2.wd	WeekDay = 2, 1	0.0153***	0.0154***	0.0154***	0.0154***	0.0154***	-0.00779***	-0.00779***	-0.00791***	-0.00791***	-0.00791***	-0.00791***
		(2.659)	(2.676)	(2.676)	(2.679)	(2.679)	(-3.733)	(-3.733)	(-3.786)	(-3.786)	(-3.787)	(-3.787)
3.wd	WeekDay = 3, 2	0.00782	0.00787	0.00787	0.00795	0.00795	-0.00402*	-0.00402*	-0.00405*	-0.00405*	-0.00412*	-0.00412*
		(1.292)	(1.300)	(1.300)	(1.309)	(1.309)	(-1.688)	(-1.688)	(-1.704)	(-1.704)	(-1.730)	(-1.730)
4.wd	WeekDay = 4, 3	0.0121*	0.0122*	0.0122*	0.0122*	0.0122*	-0.00468*	-0.00468*	-0.00471*	-0.00471*	-0.00472*	-0.00472*
		(1.871)	(1.877)	(1.877)	(1.879)	(1.879)	(-1.828)	(-1.828)	(-1.839)	(-1.839)	(-1.844)	(-1.844)
5.wd	WeekDay = 5, 4	0.00613	0.00612	0.00612	0.00612	0.00612	-0.00244	-0.00244	-0.00244	-0.00244	-0.00244	-0.00244
		(1.037)	(1.035)	(1.035)	(1.036)	(1.036)	(-1.098)	(-1.098)	(-1.100)	(-1.100)	(-1.101)	(-1.101)
2.mh	mh = 2, True	-0.0783***	-0.0784***	-0.0784***	-0.0783***	-0.0783***	-0.00362	-0.00362	-0.00360	-0.00360	-0.00359	-0.00359
		(-13.54)	(-13.56)	(-13.56)	(-13.56)	(-13.56)	(-1.244)	(-1.244)	(-1.238)	(-1.238)	(-1.236)	(-1.236)
2.ml	ml = 2, True	0.0510***	0.0510***	0.0510***	0.0509***	0.0509***	-0.0170***	-0.0170***	-0.0170***	-0.0170***	-0.0169***	-0.0169***
		(9.302)	(9.291)	(9.291)	(9.286)	(9.286)	(-6.165)	(-6.165)	(-6.148)	(-6.148)	(-6.130)	(-6.130)
2.jy	JYear = 2, 1388	-0.0971***	-0.0971***	-0.0971***	-0.0968***	-0.0968***	0.137***	0.137***	0.137***	0.137***	0.137***	0.137***
		(-5.187)	(-5.186)	(-5.186)	(-5.184)	(-5.184)	(9.356)	(9.356)	(9.357)	(9.357)	(9.370)	(9.370)
3.jy	JYear = 3, 1389	-0.109***	-0.109***	-0.109***	-0.109***	-0.109***	0.140***	0.140***	0.140***	0.140***	0.140***	0.140***
		(-5.572)	(-5.570)	(-5.570)	(-5.566)	(-5.566)	(9.575)	(9.575)	(9.573)	(9.573)	(9.585)	(9.585)
4.jy	JYear = 4, 1390	-0.0530***	-0.0528***	-0.0528***	-0.0524***	-0.0524***	0.113***	0.113***	0.113***	0.113***	0.112***	0.112***
		(-2.766)	(-2.755)	(-2.755)	(-2.740)	(-2.740)	(7.765)	(7.765)	(7.751)	(7.751)	(7.752)	(7.752)
5.jy	JYear = 5, 1391	-0.0536***	-0.0534***	-0.0534***	-0.0530***	-0.0530***	0.102***	0.102***	0.102***	0.102***	0.101***	0.101***
		(-2.791)	(-2.779)	(-2.779)	(-2.766)	(-2.766)	(6.644)	(6.644)	(6.633)	(6.633)	(6.633)	(6.633)
6.jy	JYear = 6, 1392	-0.133***	-0.133***	-0.133***	-0.133***	-0.133***	0.168***	0.168***	0.168***	0.168***	0.168***	0.168***
		(-6.902)	(-6.892)	(-6.892)	(-6.882)	(-6.882)	(11.88)	(11.88)	(11.87)	(11.87)	(11.88)	(11.88)
7.jy	JYear = 7, 1393	-0.0302*	-0.0300*	-0.0300*	-0.0296*	-0.0296*	0.117***	0.117***	0.117***	0.117***	0.117***	0.117***
		(-1.800)	(-1.787)	(-1.787)	(-1.766)	(-1.766)	(9.011)	(9.011)	(8.998)	(8.998)	(9.004)	(9.004)
8.jy	JYear = 8, 1394	-0.0644***	-0.0642***	-0.0642***	-0.0638***	-0.0638***	0.133***	0.133***	0.132***	0.132***	0.132***	0.132***
		(-3.409)	(-3.399)	(-3.399)	(-3.386)	(-3.386)	(9.537)	(9.537)	(9.525)	(9.525)	(9.533)	(9.533)
9.jy	JYear = 9, 1395	-0.0303*	-0.0301*	-0.0301*	-0.0298*	-0.0298*	0.113***	0.113***	0.112***	0.112***	0.112***	0.112***
		(-1.808)	(-1.797)	(-1.797)	(-1.779)	(-1.779)	(8.711)	(8.711)	(8.701)	(8.701)	(8.710)	(8.710)
10.jy	JYear = 10, 1396	-0.0426**	-0.0424**	-0.0424**	-0.0421**	-0.0421**	0.123***	0.123***	0.123***	0.123***	0.123***	0.123***
