		(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	LABELS	S-3	D-3	D-3	S-5	S-5	D-5	D-5
								
r1	R(-1)	-1.851***	0.551***	0.551***	-1.727***	-1.727***	0.513***	0.513***
		(-20.09)	(18.12)	(18.12)	(-19.53)	(-19.53)	(16.91)	(16.91)
r2	R(-2, -5)	0.0667**	-0.000551	-0.000551	0.0369	0.0369	0.00539	0.00539
		(2.518)	(-0.0474)	(-0.0474)	(1.315)	(1.315)	(0.433)	(0.433)
r6	R(-6, -27)	0.0703***	-0.0291***	-0.0291***	0.0668***	0.0668***	-0.0264***	-0.0264***
		(5.947)	(-5.552)	(-5.552)	(5.407)	(5.407)	(-4.677)	(-4.677)
r28	R(-28, -119)	0.0101***	-0.00612***	-0.00612***	0.0108***	0.0108***	-0.00582***	-0.00582***
		(2.669)	(-3.161)	(-3.161)	(2.829)	(2.829)	(-2.987)	(-2.987)
2.wd	WeekDay = 2, 1	0.0159***	-0.00777***	-0.00777***	0.0126**	0.0126**	-0.00701***	-0.00701***
		(2.663)	(-3.760)	(-3.760)	(2.129)	(2.129)	(-3.334)	(-3.334)
3.wd	WeekDay = 3, 2	0.00600	-0.00287	-0.00287	0.00424	0.00424	-0.00288	-0.00288
		(0.957)	(-1.176)	(-1.176)	(0.661)	(0.661)	(-1.139)	(-1.139)
4.wd	WeekDay = 4, 3	0.0121*	-0.00547**	-0.00547**	0.0119*	0.0119*	-0.00514*	-0.00514*
		(1.732)	(-1.985)	(-1.985)	(1.666)	(1.666)	(-1.791)	(-1.791)
5.wd	WeekDay = 5, 4	0.00651	-0.00275	-0.00275	0.00559	0.00559	-0.00221	-0.00221
		(1.053)	(-1.168)	(-1.168)	(0.897)	(0.897)	(-0.898)	(-0.898)
2.mh	mh = 2, True	-0.0777***	-0.00852**	-0.00852**	-0.0780***	-0.0780***	-0.00834**	-0.00834**
		(-11.43)	(-2.342)	(-2.342)	(-10.67)	(-10.67)	(-2.018)	(-2.018)
2.ml	ml = 2, True	0.0557***	-0.0229***	-0.0229***	0.0551***	0.0551***	-0.0248***	-0.0248***
		(9.004)	(-6.498)	(-6.498)	(7.879)	(7.879)	(-5.913)	(-5.913)
2.jy	JYear = 2, 1388	-0.0866***	0.137***	0.137***	-0.0905***	-0.0905***	0.137***	0.137***
		(-4.551)	(8.945)	(8.945)	(-3.944)	(-3.944)	(6.891)	(6.891)
3.jy	JYear = 3, 1389	-0.0906***	0.136***	0.136***	-0.0872***	-0.0872***	0.131***	0.131***
		(-4.497)	(9.155)	(9.155)	(-3.708)	(-3.708)	(6.768)	(6.768)
4.jy	JYear = 4, 1390	-0.0357*	0.108***	0.108***	-0.0354	-0.0354	0.104***	0.104***
		(-1.780)	(7.081)	(7.081)	(-1.492)	(-1.492)	(5.262)	(5.262)
5.jy	JYear = 5, 1391	-0.0348*	0.0950***	0.0950***	-0.0308	-0.0308	0.0901***	0.0901***
		(-1.788)	(6.078)	(6.078)	(-1.332)	(-1.332)	(4.476)	(4.476)
6.jy	JYear = 6, 1392	-0.113***	0.160***	0.160***	-0.107***	-0.107***	0.153***	0.153***
		(-5.812)	(11.20)	(11.20)	(-4.696)	(-4.696)	(8.061)	(8.061)
7.jy	JYear = 7, 1393	-0.0122	0.109***	0.109***	-0.00691	-0.00691	0.103***	0.103***
		(-0.713)	(8.189)	(8.189)	(-0.334)	(-0.334)	(5.658)	(5.658)
8.jy	JYear = 8, 1394	-0.0502***	0.128***	0.128***	-0.0464**	-0.0464**	0.122***	0.122***
		(-2.716)	(9.040)	(9.040)	(-2.140)	(-2.140)	(6.554)	(6.554)
9.jy	JYear = 9, 1395	-0.0152	0.105***	0.105***	-0.0132	-0.0132	0.0990***	0.0990***
		(-0.896)	(8.000)	(8.000)	(-0.639)	(-0.639)	(5.479)	(5.479)
10.jy	JYear = 10, 1396	-0.0324*	0.115***	0.115***	-0.0388*	-0.0388*	0.112***	0.112***
		(-1.733)	(8.461)	(8.461)	(-1.733)	(-1.733)	(6.091)	(6.091)
11.jy	JYear = 11, 1397	-0.0857***	0.137***	0.137***	-0.0858***	-0.0858***	0.132***	0.132***
		(-4.137)	(9.418)	(9.418)	(-3.703)	(-3.703)	(6.963)	(6.963)
12.jy	JYear = 12, 1398	-0.130***	0.173***	0.173***	-0.123***	-0.123***	0.168***	0.168***
		(-6.603)	(12.84)	(12.84)	(-5.397)	(-5.397)	(9.152)	(9.152)
13.jy	JYear = 13, 1399	-0.0400	0.140***	0.140***	-0.0443	-0.0443	0.137***	0.137***
		(-1.562)	(8.590)	(8.590)	(-1.629)	(-1.629)	(6.770)	(6.770)
14.jy	JYear = 14, 1400	0.0607***	0.0973***	0.0973***	0.0568**	0.0568**	0.0958***	0.0958***
		(2.607)	(6.307)	(6.307)	(2.131)	(2.131)	(4.840)	(4.840)
15.jy	JYear = 15, 1401	0.0152	0.119***	0.119***	-0.00442	-0.00442	0.120***	0.120***
		(0.486)	(7.719)	(7.719)	(-0.132)	(-0.132)	(6.061)	(6.061)
Constant	Constant	0.145***	-0.170***	-0.170***	0.141***	0.141***	-0.164***	-0.164***
		(8.786)	(-13.16)	(-13.16)	(6.959)	(6.959)	(-9.152)	(-9.152)
								
Observations		565,318	565,318	565,318	383,721	383,721	383,721	383,721
R-squared		0.016	0.012	0.012	0.014	0.014	0.011	0.011
Number of groups		737	737	737	736	736	736	736
t-statistics in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
