		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	LABELS	S-XTSCC	S-XTSCC-wo News	S-XTREG	S-XTREG-fe	S-XTREG-cluster	S-XTREG-fe-cluster	S-XTPCSE-hetonly	S-XTPCSE-hetonly	D-XTSCC	D-XTSCC	D-XTSCC-No News	D-XTREG	D-XTREG-fe	D-XTREG-cluster	D-XTREG-fe-cluster	D-XTPCSE-hetonly	D-XTPCSE-hetonly	D-XTPCSE-hetonly	D-XTPCSE-hetonly
																				
r1	R(-1)	-2.146***	-2.160***	-2.137***	-2.137***	-2.137***	-2.137***	-2.146***	-2.146***	0.652***	0.652***	0.656***	0.647***	0.647***	0.647***	0.647***	0.652***	0.652***	0.652***	0.652***
		(-23.89)	(-23.88)	(-102.3)	(-102.3)	(-39.24)	(-39.23)	(-102.7)	(-102.7)	(22.76)	(22.76)	(22.71)	(71.32)	(71.31)	(28.19)	(28.18)	(73.92)	(73.92)	(73.92)	(73.92)
r2	R(-2, -5)	0.0480*	0.0443	0.0567***	0.0570***	0.0567***	0.0570***	0.0480***	0.0480***	0.00105	0.00105	0.00257	-0.00382	-0.00388	-0.00382	-0.00388	0.00105	0.00105	0.00105	0.00105
		(1.737)	(1.591)	(6.848)	(6.890)	(4.470)	(4.497)	(5.833)	(5.833)	(0.0692)	(0.0692)	(0.169)	(-1.063)	(-1.081)	(-0.710)	(-0.722)	(0.306)	(0.306)	(0.306)	(0.306)
r6	R(-6, -27)	0.0385***	0.0389***	0.0469***	0.0473***	0.0469***	0.0473***	0.0385***	0.0385***	-0.0228***	-0.0228***	-0.0228***	-0.0276***	-0.0276***	-0.0276***	-0.0276***	-0.0228***	-0.0228***	-0.0228***	-0.0228***
		(2.809)	(2.804)	(14.70)	(14.82)	(7.351)	(7.411)	(12.25)	(12.25)	(-3.293)	(-3.293)	(-3.254)	(-19.89)	(-19.95)	(-8.839)	(-8.867)	(-17.81)	(-17.81)	(-17.81)	(-17.81)
r28	R(-28, -119)	-0.00640	-0.00678	-0.00217**	-0.00196*	-0.00217	-0.00196	-0.00640***	-0.00640***	-0.000932	-0.000932	-0.000718	-0.00337***	-0.00342***	-0.00337***	-0.00342***	-0.000932**	-0.000932**	-0.000932**	-0.000932**
		(-1.571)	(-1.633)	(-2.062)	(-1.862)	(-0.873)	(-0.788)	(-6.277)	(-6.277)	(-0.485)	(-0.485)	(-0.369)	(-7.375)	(-7.476)	(-3.055)	(-3.094)	(-2.216)	(-2.216)	(-2.216)	(-2.216)
2.nt	NewsType = 2, Good	-0.157***		-0.158***	-0.158***	-0.158***	-0.158***	-0.157***	-0.157***	0.0377***	0.0377***		0.0370***	0.0370***	0.0370***	0.0370***	0.0377***	0.0377***	0.0377***	0.0377***
		(-16.00)		(-28.02)	(-28.02)	(-20.92)	(-20.92)	(-27.51)	(-27.51)	(10.000)	(10.000)		(15.15)	(15.15)	(13.53)	(13.53)	(14.61)	(14.61)	(14.61)	(14.61)
3.nt	NewsType = 3, No-News	-0.0154**		-0.00257	-0.00252	-0.00257	-0.00252	-0.0154***	-0.0154***	-0.0116***	-0.0116***		-0.0202***	-0.0202***	-0.0202***	-0.0202***	-0.0116***	-0.0116***	-0.0116***	-0.0116***
		(-1.982)		(-0.637)	(-0.623)	(-0.485)	(-0.474)	(-3.775)	(-3.775)	(-3.783)	(-3.783)		(-11.51)	(-11.52)	(-8.262)	(-8.260)	(-6.293)	(-6.293)	(-6.293)	(-6.293)
2.wd	WeekDay = 2, 1	0.0174***	0.0182***	0.0163***	0.0163***	0.0163***	0.0163***	0.0174***	0.0174***	-0.00856***	-0.00856***	-0.00899***	-0.00816***	-0.00816***	-0.00816***	-0.00816***	-0.00856***	-0.00856***	-0.00856***	-0.00856***
		(2.975)	(3.100)	(8.651)	(8.643)	(10.28)	(10.27)	(9.122)	(9.122)	(-4.033)	(-4.033)	(-4.218)	(-9.958)	(-9.956)	(-11.67)	(-11.67)	(-10.18)	(-10.18)	(-10.18)	(-10.18)
3.wd	WeekDay = 3, 2	0.0108*	0.0116*	0.0105***	0.0105***	0.0105***	0.0105***	0.0108***	0.0108***	-0.00581**	-0.00581**	-0.00624**	-0.00574***	-0.00575***	-0.00574***	-0.00575***	-0.00581***	-0.00581***	-0.00581***	-0.00581***
		(1.719)	(1.834)	(5.621)	(5.622)	(6.289)	(6.290)	(5.711)	(5.711)	(-2.385)	(-2.385)	(-2.559)	(-7.050)	(-7.054)	(-8.111)	(-8.114)	(-6.950)	(-6.950)	(-6.950)	(-6.950)
4.wd	WeekDay = 4, 3	0.0130*	0.0139**	0.0121***	0.0120***	0.0121***	0.0120***	0.0130***	0.0130***	-0.00496*	-0.00496*	-0.00542**	-0.00461***	-0.00461***	-0.00461***	-0.00461***	-0.00496***	-0.00496***	-0.00496***	-0.00496***
		(1.957)	(2.088)	(6.381)	(6.374)	(7.204)	(7.197)	(6.811)	(6.811)	(-1.899)	(-1.899)	(-2.073)	(-5.619)	(-5.616)	(-6.444)	(-6.440)	(-5.885)	(-5.885)	(-5.885)	(-5.885)
5.wd	WeekDay = 5, 4	0.00589	0.00668	0.00567***	0.00567***	0.00567***	0.00567***	0.00589***	0.00589***	-0.00216	-0.00216	-0.00261	-0.00209**	-0.00209**	-0.00209***	-0.00209***	-0.00216**	-0.00216**	-0.00216**	-0.00216**
		(0.963)	(1.089)	(3.016)	(3.016)	(3.440)	(3.440)	(3.096)	(3.096)	(-0.950)	(-0.950)	(-1.147)	(-2.555)	(-2.557)	(-3.037)	(-3.038)	(-2.573)	(-2.573)	(-2.573)	(-2.573)
2.mh	mh = 2, True	-0.0814***	-0.0840***	-0.0800***	-0.0796***	-0.0800***	-0.0796***	-0.0814***	-0.0814***	-0.00746**	-0.00746**	-0.00672**	-0.00736***	-0.00746***	-0.00736**	-0.00746**	-0.00746***	-0.00746***	-0.00746***	-0.00746***
		(-12.61)	(-12.94)	(-34.85)	(-34.66)	(-19.34)	(-19.25)	(-35.53)	(-35.53)	(-2.277)	(-2.277)	(-2.038)	(-7.383)	(-7.483)	(-2.155)	(-2.184)	(-7.203)	(-7.203)	(-7.203)	(-7.203)
2.ml	ml = 2, True	0.0482***	0.0497***	0.0460***	0.0462***	0.0460***	0.0462***	0.0482***	0.0482***	-0.0228***	-0.0228***	-0.0232***	-0.0198***	-0.0198***	-0.0198***	-0.0198***	-0.0228***	-0.0228***	-0.0228***	-0.0228***
