		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)
VARIABLES	LABELS	S	S	S	S	S	D	D	D	D	D	D
												
r1	R(-1)	-1.676***	-1.653***	-1.653***	-1.652***	-1.652***	-0.948***	-0.948***	-0.949***	-0.949***	-0.949***	-0.949***
		(0.0677)	(0.0683)	(0.0683)	(0.0683)	(0.0683)	(0.0410)	(0.0410)	(0.0412)	(0.0412)	(0.0412)	(0.0412)
r2	R(-2, -5)	0.0410*	0.0416*	0.0416*	0.0446**	0.0446**	-0.312***	-0.312***	-0.313***	-0.313***	-0.313***	-0.313***
		(0.0218)	(0.0219)	(0.0219)	(0.0220)	(0.0220)	(0.0234)	(0.0234)	(0.0235)	(0.0235)	(0.0236)	(0.0236)
r6	R(-6, -27)	0.0608***	0.0605***	0.0605***	0.0603***	0.0603***	0.0267**	0.0267**	0.0268**	0.0268**	0.0267**	0.0267**
		(0.00899)	(0.00899)	(0.00899)	(0.00898)	(0.00898)	(0.0105)	(0.0105)	(0.0105)	(0.0105)	(0.0105)	(0.0105)
r28	R(-28, -119)	0.0103***	0.0102***	0.0102***	0.0102***	0.0102***	0.0240***	0.0240***	0.0239***	0.0239***	0.0239***	0.0239***
		(0.00333)	(0.00332)	(0.00332)	(0.00332)	(0.00332)	(0.00447)	(0.00447)	(0.00449)	(0.00449)	(0.00450)	(0.00450)
2.nt	nt = 2, 2	-0.0724***	-0.0721***	-0.0721***	-0.0722***	-0.0722***	-0.0560***	-0.0560***	-0.0585***	-0.0585***	-0.0598***	-0.0598***
		(0.00626)	(0.00593)	(0.00593)	(0.00576)	(0.00576)	(0.00476)	(0.00476)	(0.00451)	(0.00451)	(0.00441)	(0.00441)
3.nt	nt = 3, 3	0.0441***	0.0442***	0.0442***	0.0439***	0.0439***	0.107***	0.107***	0.104***	0.104***	0.103***	0.103***
		(0.00551)	(0.00521)	(0.00521)	(0.00513)	(0.00513)	(0.00464)	(0.00464)	(0.00440)	(0.00440)	(0.00426)	(0.00426)
2.l1nt	l1nt = 2, 2		-0.0179***	-0.0179***	-0.0179***	-0.0179***			0.0216***	0.0216***	0.0199***	0.0199***
			(0.00646)	(0.00646)	(0.00615)	(0.00615)			(0.00412)	(0.00412)	(0.00388)	(0.00388)
3.l1nt	l1nt = 3, 3		0.0173***	0.0173***	0.0170***	0.0170***			0.0218***	0.0218***	0.0197***	0.0197***
			(0.00481)	(0.00481)	(0.00461)	(0.00461)			(0.00365)	(0.00365)	(0.00340)	(0.00340)
2.l2nt	l2nt = 2, 2				-0.00868	-0.00868					0.0128***	0.0128***
					(0.00533)	(0.00533)					(0.00401)	(0.00401)
3.l2nt	l2nt = 3, 3				0.0132***	0.0132***					0.0199***	0.0199***
					(0.00509)	(0.00509)					(0.00361)	(0.00361)
2.wd	WeekDay = 2, 1	0.0126***	0.0126***	0.0126***	0.0126***	0.0126***	0.000990	0.000990	0.000610	0.000610	0.000665	0.000665
		(0.00451)	(0.00452)	(0.00452)	(0.00452)	(0.00452)	(0.00254)	(0.00254)	(0.00255)	(0.00255)	(0.00255)	(0.00255)
3.wd	WeekDay = 3, 2	0.00644	0.00645	0.00645	0.00640	0.00640	-0.00478	-0.00478	-0.00486	-0.00486	-0.00510*	-0.00510*
		(0.00456)	(0.00456)	(0.00456)	(0.00457)	(0.00457)	(0.00297)	(0.00297)	(0.00297)	(0.00297)	(0.00297)	(0.00297)
4.wd	WeekDay = 4, 3	0.00759	0.00760	0.00760	0.00760	0.00760	-0.00494	-0.00494	-0.00500	-0.00500	-0.00503	-0.00503
		(0.00494)	(0.00494)	(0.00494)	(0.00494)	(0.00494)	(0.00333)	(0.00333)	(0.00333)	(0.00333)	(0.00333)	(0.00333)
5.wd	WeekDay = 5, 4	0.00440	0.00438	0.00438	0.00438	0.00438	-0.00929***	-0.00929***	-0.00934***	-0.00934***	-0.00934***	-0.00934***
		(0.00472)	(0.00471)	(0.00471)	(0.00471)	(0.00471)	(0.00338)	(0.00338)	(0.00338)	(0.00338)	(0.00338)	(0.00338)
2.mh	mh = 2, True	-0.0782***	-0.0782***	-0.0782***	-0.0781***	-0.0781***	-0.0630***	-0.0630***	-0.0630***	-0.0630***	-0.0629***	-0.0629***
		(0.00430)	(0.00430)	(0.00430)	(0.00430)	(0.00430)	(0.00493)	(0.00493)	(0.00493)	(0.00493)	(0.00493)	(0.00493)
2.ml	ml = 2, True	0.0445***	0.0445***	0.0445***	0.0445***	0.0445***	0.0558***	0.0558***	0.0559***	0.0559***	0.0560***	0.0560***
		(0.00428)	(0.00427)	(0.00427)	(0.00427)	(0.00427)	(0.00510)	(0.00510)	(0.00511)	(0.00511)	(0.00511)	(0.00511)
2.jy	JYear = 2, 1388	-0.00488	-0.00490	-0.00490	-0.00483	-0.00483	0.122***	0.122***	0.122***	0.122***	0.121***	0.121***
		(0.0180)	(0.0180)	(0.0180)	(0.0179)	(0.0179)	(0.0171)	(0.0171)	(0.0171)	(0.0171)	(0.0171)	(0.0171)
3.jy	JYear = 3, 1389	0.00293	0.00290	0.00290	0.00295	0.00295	0.130***	0.130***	0.129***	0.129***	0.129***	0.129***
		(0.0178)	(0.0178)	(0.0178)	(0.0178)	(0.0178)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)
4.jy	JYear = 4, 1390	0.0533***	0.0533***	0.0533***	0.0533***	0.0533***	0.131***	0.131***	0.131***	0.131***	0.130***	0.130***
		(0.0172)	(0.0172)	(0.0172)	(0.0171)	(0.0171)	(0.0165)	(0.0165)	(0.0165)	(0.0165)	(0.0166)	(0.0166)
5.jy	JYear = 5, 1391	0.0496***	0.0496***	0.0496***	0.0497***	0.0497***	0.127***	0.127***	0.127***	0.127***	0.126***	0.126***
		(0.0170)	(0.0170)	(0.0170)	(0.0170)	(0.0170)	(0.0170)	(0.0170)	(0.0171)	(0.0171)	(0.0171)	(0.0171)
6.jy	JYear = 6, 1392	-0.0161	-0.0161	-0.0161	-0.0160	-0.0160	0.176***	0.176***	0.176***	0.176***	0.175***	0.175***
		(0.0169)	(0.0169)	(0.0169)	(0.0169)	(0.0169)	(0.0164)	(0.0164)	(0.0164)	(0.0164)	(0.0164)	(0.0164)
7.jy	JYear = 7, 1393	0.0650***	0.0650***	0.0650***	0.0649***	0.0649***	0.142***	0.142***	0.141***	0.141***	0.140***	0.140***
		(0.0156)	(0.0156)	(0.0156)	(0.0156)	(0.0156)	(0.0162)	(0.0162)	(0.0162)	(0.0162)	(0.0162)	(0.0162)
8.jy	JYear = 8, 1394	0.0374**	0.0374**	0.0374**	0.0373**	0.0373**	0.160***	0.160***	0.159***	0.159***	0.158***	0.158***
		(0.0169)	(0.0169)	(0.0169)	(0.0169)	(0.0169)	(0.0160)	(0.0160)	(0.0160)	(0.0160)	(0.0160)	(0.0160)
9.jy	JYear = 9, 1395	0.0687***	0.0687***	0.0687***	0.0687***	0.0687***	0.160***	0.160***	0.159***	0.159***	0.159***	0.159***
		(0.0156)	(0.0156)	(0.0156)	(0.0156)	(0.0156)	(0.0160)	(0.0160)	(0.0161)	(0.0161)	(0.0161)	(0.0161)
