		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	S	S	S	D	D	D
							
r1	R(-1)	-1.897***	-1.878***	-1.877***	-1.092***	-1.098***	-1.097***
		(-27.09)	(-26.50)	(-26.48)	(-25.09)	(-25.20)	(-25.14)
r2	R(-5, -2)	0.0981***	0.0986***	0.102***	-0.401***	-0.402***	-0.402***
		(3.967)	(3.982)	(4.092)	(-15.82)	(-15.84)	(-15.78)
r6	R(-27, -6)	0.111***	0.110***	0.110***	-0.0148	-0.0149	-0.0150
		(9.753)	(9.732)	(9.703)	(-1.123)	(-1.126)	(-1.135)
r28	R(-119, -28)	0.0294***	0.0293***	0.0293***	0.0284***	0.0283***	0.0282***
		(5.412)	(5.410)	(5.403)	(4.487)	(4.456)	(4.431)
2.nt	nt = 2, 2	-0.0697***	-0.0693***	-0.0695***	-0.0540***	-0.0568***	-0.0582***
		(-11.23)	(-11.74)	(-12.07)	(-11.52)	(-12.69)	(-13.23)
3.nt	nt = 3, 3	0.0420***	0.0422***	0.0420***	0.110***	0.106***	0.105***
		(7.574)	(8.005)	(8.071)	(23.37)	(23.81)	(24.21)
2.l1nt	l1nt = 2, 2		-0.0140**	-0.0142**		0.0268***	0.0249***
			(-2.209)	(-2.333)		(6.792)	(6.666)
3.l1nt	l1nt = 3, 3		0.0109**	0.0105**		0.0215***	0.0192***
			(2.206)	(2.224)		(6.018)	(5.757)
2.l2nt	l2nt = 2, 2			-0.00769			0.0153***
				(-1.439)			(3.919)
3.l2nt	l2nt = 3, 3			0.0130***			0.0206***
				(2.580)			(5.756)
2.wd	WeekDay = 2, 1	0.0119***	0.0119***	0.0120***	-5.17e-05	-0.000468	-0.000415
		(2.628)	(2.629)	(2.635)	(-0.0209)	(-0.189)	(-0.167)
3.wd	WeekDay = 3, 2	0.00567	0.00568	0.00562	-0.00563*	-0.00572**	-0.00599**
		(1.236)	(1.239)	(1.221)	(-1.953)	(-1.982)	(-2.072)
4.wd	WeekDay = 4, 3	0.00688	0.00689	0.00688	-0.00524	-0.00531	-0.00534
		(1.381)	(1.384)	(1.382)	(-1.609)	(-1.631)	(-1.642)
5.wd	WeekDay = 5, 4	0.00386	0.00385	0.00386	-0.00958***	-0.00962***	-0.00962***
		(0.806)	(0.804)	(0.805)	(-2.901)	(-2.915)	(-2.913)
2.mh	mh = 2, True	-0.0774***	-0.0774***	-0.0774***	-0.0629***	-0.0629***	-0.0628***
		(-17.80)	(-17.81)	(-17.80)	(-12.73)	(-12.73)	(-12.71)
2.ml	ml = 2, True	0.0457***	0.0457***	0.0457***	0.0557***	0.0557***	0.0559***
		(10.39)	(10.39)	(10.39)	(11.17)	(11.17)	(11.19)
2.jy	JYear = 2, 1388	0.0179	0.0179	0.0179	0.127***	0.127***	0.127***
		(0.903)	(0.903)	(0.903)	(6.417)	(6.402)	(6.391)
3.jy	JYear = 3, 1389	0.0303	0.0303	0.0303	0.136***	0.135***	0.135***
		(1.592)	(1.591)	(1.589)	(6.707)	(6.683)	(6.666)
4.jy	JYear = 4, 1390	0.0811***	0.0811***	0.0810***	0.137***	0.137***	0.136***
		(4.390)	(4.389)	(4.385)	(7.034)	(6.990)	(6.958)
5.jy	JYear = 5, 1391	0.0791***	0.0791***	0.0791***	0.132***	0.131***	0.131***
		(4.314)	(4.316)	(4.315)	(6.620)	(6.585)	(6.560)
6.jy	JYear = 6, 1392	0.0112	0.0112	0.0112	0.181***	0.180***	0.180***
		(0.607)	(0.609)	(0.606)	(9.286)	(9.236)	(9.201)
7.jy	JYear = 7, 1393	0.0915***	0.0915***	0.0914***	0.148***	0.147***	0.146***
		(5.385)	(5.383)	(5.376)	(7.691)	(7.629)	(7.584)
8.jy	JYear = 8, 1394	0.0654***	0.0654***	0.0653***	0.165***	0.164***	0.164***
		(3.571)	(3.573)	(3.569)	(8.666)	(8.608)	(8.567)
9.jy	JYear = 9, 1395	0.0933***	0.0933***	0.0933***	0.166***	0.166***	0.165***
		(5.491)	(5.491)	(5.486)	(8.715)	(8.668)	(8.634)
10.jy	JYear = 10, 1396	0.0883***	0.0883***	0.0882***	0.187***	0.186***	0.186***
		(4.830)	(4.830)	(4.825)	(9.635)	(9.590)	(9.559)
11.jy	JYear = 11, 1397	0.0196	0.0196	0.0195	0.199***	0.198***	0.197***
		(1.032)	(1.035)	(1.027)	(9.918)	(9.841)	(9.783)
12.jy	JYear = 12, 1398	-0.0214	-0.0212	-0.0214	0.257***	0.255***	0.254***
		(-1.222)	(-1.212)	(-1.219)	(12.11)	(11.98)	(11.89)
13.jy	JYear = 13, 1399	0.0467*	0.0468*	0.0467*	0.241***	0.240***	0.240***
		(1.918)	(1.925)	(1.925)	(8.328)	(8.250)	(8.198)
14.jy	JYear = 14, 1400	0.108***	0.108***	0.108***	0.183***	0.183***	0.183***
		(5.248)	(5.246)	(5.247)	(6.404)	(6.408)	(6.413)
15.jy	JYear = 15, 1401	0.0823***	0.0823***	0.0823***	0.123***	0.123***	0.123***
		(3.057)	(3.054)	(3.055)	(6.378)	(6.384)	(6.390)
Constant	Constant	0.0374**	0.0374**	0.0374**	-0.169***	-0.169***	-0.169***
		(2.274)	(2.274)	(2.272)	(-8.898)	(-8.895)	(-8.897)
							
Observations		922,066	922,066	922,066	922,066	922,066	922,066
R-squared		0.016	0.016	0.016	0.040	0.040	0.040
Number of groups		741	741	741	741	741	741
t-statistics in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
