		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	S	S	S	D	D	D
							
r1	R(-1)	-2.343***	-2.309***	-2.308***	0.721***	0.703***	0.703***
		(-26.42)	(-25.90)	(-25.89)	(23.17)	(22.60)	(22.61)
r2	R(-5, -2)	0.154***	0.156***	0.160***	-0.0292**	-0.0300**	-0.0325**
		(5.154)	(5.196)	(5.346)	(-2.236)	(-2.299)	(-2.492)
r6	R(-27, -6)	0.134***	0.134***	0.134***	-0.0638***	-0.0636***	-0.0635***
		(9.346)	(9.322)	(9.297)	(-9.708)	(-9.687)	(-9.666)
r28	R(-119, -28)	0.0275***	0.0274***	0.0274***	-0.0183***	-0.0183***	-0.0183***
		(4.115)	(4.117)	(4.119)	(-5.803)	(-5.818)	(-5.830)
2.nt	nt = 2, 2	-0.0992***	-0.0979***	-0.0974***	0.0341***	0.0330***	0.0325***
		(-11.64)	(-12.18)	(-12.55)	(8.877)	(9.118)	(9.246)
3.nt	nt = 3, 3	0.0474***	0.0486***	0.0490***	0.000606	-0.000492	-0.000919
		(6.708)	(7.325)	(7.546)	(0.208)	(-0.183)	(-0.354)
2.l1nt	l1nt = 2, 2		-0.0311***	-0.0302***		0.0197***	0.0189***
			(-3.754)	(-3.858)		(6.055)	(6.180)
3.l1nt	l1nt = 3, 3		0.0131**	0.0139**		-0.00302	-0.00376
			(2.261)	(2.532)		(-1.213)	(-1.628)
2.l2nt	l2nt = 2, 2			-0.0208***			0.0128***
				(-2.763)			(4.252)
3.l2nt	l2nt = 3, 3			0.00763			-0.000643
				(1.141)			(-0.244)
2.wd	WeekDay = 2, 1	0.0148**	0.0149**	0.0149**	-0.00795***	-0.00809***	-0.00809***
		(2.546)	(2.565)	(2.568)	(-3.772)	(-3.826)	(-3.827)
3.wd	WeekDay = 3, 2	0.00690	0.00694	0.00700	-0.00397	-0.00400*	-0.00408*
		(1.136)	(1.144)	(1.150)	(-1.638)	(-1.654)	(-1.681)
4.wd	WeekDay = 4, 3	0.0114*	0.0114*	0.0114*	-0.00472*	-0.00475*	-0.00476*
		(1.734)	(1.740)	(1.740)	(-1.803)	(-1.815)	(-1.819)
