		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	S	S	S	D	D	D
							
r1	R(-1)	-1.710***	-1.688***	-1.687***	-0.967***	-0.969***	-0.968***
		(-26.08)	(-25.51)	(-25.49)	(-24.66)	(-24.59)	(-24.53)
r2	R(-5, -2)	0.00374	0.00479	0.00919	-0.404***	-0.405***	-0.406***
		(0.139)	(0.178)	(0.338)	(-13.64)	(-13.65)	(-13.57)
r6	R(-27, -6)	0.0618***	0.0616***	0.0614***	0.00605	0.00601	0.00592
		(6.548)	(6.533)	(6.522)	(0.570)	(0.566)	(0.557)
r28	R(-119, -28)	0.00961***	0.00957***	0.00955***	0.0243***	0.0242***	0.0242***
		(2.898)	(2.894)	(2.889)	(5.389)	(5.359)	(5.338)
2.nt	nt = 2, 2	-0.0722***	-0.0719***	-0.0721***	-0.0550***	-0.0576***	-0.0589***
		(-11.61)	(-12.22)	(-12.61)	(-11.54)	(-12.77)	(-13.35)
3.nt	nt = 3, 3	0.0444***	0.0444***	0.0441***	0.107***	0.104***	0.103***
		(8.157)	(8.615)	(8.717)	(23.30)	(23.89)	(24.39)
2.l1nt	l1nt = 2, 2		-0.0169***	-0.0170***		0.0225***	0.0208***
			(-2.640)	(-2.787)		(5.474)	(5.340)
3.l1nt	l1nt = 3, 3		0.0172***	0.0169***		0.0216***	0.0195***
			(3.567)	(3.648)		(5.907)	(5.719)
2.l2nt	l2nt = 2, 2			-0.00726			0.0148***
				(-1.372)			(3.700)
3.l2nt	l2nt = 3, 3			0.0121**			0.0181***
				(2.400)			(4.999)
2.wd	WeekDay = 2, 1	0.0125***	0.0125***	0.0125***	0.00201	0.00163	0.00168
		(2.787)	(2.780)	(2.783)	(0.785)	(0.634)	(0.653)
3.wd	WeekDay = 3, 2	0.00636	0.00636	0.00630	-0.00403	-0.00411	-0.00435
		(1.396)	(1.397)	(1.379)	(-1.345)	(-1.370)	(-1.447)
4.wd	WeekDay = 4, 3	0.00746	0.00747	0.00746	-0.00457	-0.00464	-0.00467
		(1.514)	(1.515)	(1.513)	(-1.358)	(-1.378)	(-1.386)
5.wd	WeekDay = 5, 4	0.00421	0.00419	0.00420	-0.00948***	-0.00953***	-0.00952***
		(0.892)	(0.888)	(0.890)	(-2.798)	(-2.812)	(-2.810)
2.mh	mh = 2, True	-0.0764***	-0.0764***	-0.0764***	-0.0634***	-0.0634***	-0.0633***
		(-17.78)	(-17.79)	(-17.78)	(-12.68)	(-12.68)	(-12.66)
2.ml	ml = 2, True	0.0449***	0.0449***	0.0449***	0.0553***	0.0554***	0.0555***
		(10.56)	(10.56)	(10.57)	(10.85)	(10.85)	(10.87)
2.jy	JYear = 2, 1388	-0.00809	-0.00810	-0.00801	0.120***	0.119***	0.119***
		(-0.438)	(-0.438)	(-0.434)	(7.257)	(7.229)	(7.213)
3.jy	JYear = 3, 1389	9.62e-05	7.47e-05	0.000136	0.127***	0.127***	0.126***
		(0.00524)	(0.00407)	(0.00740)	(7.564)	(7.529)	(7.508)
4.jy	JYear = 4, 1390	0.0527***	0.0527***	0.0527***	0.127***	0.126***	0.126***
		(2.961)	(2.959)	(2.965)	(7.940)	(7.881)	(7.843)
5.jy	JYear = 5, 1391	0.0500***	0.0500***	0.0501***	0.121***	0.121***	0.120***
		(2.851)	(2.853)	(2.861)	(7.410)	(7.363)	(7.334)
6.jy	JYear = 6, 1392	-0.0182	-0.0182	-0.0182	0.174***	0.174***	0.173***
		(-1.048)	(-1.048)	(-1.047)	(11.03)	(10.96)	(10.92)
7.jy	JYear = 7, 1393	0.0609***	0.0609***	0.0608***	0.139***	0.138***	0.137***
		(3.768)	(3.763)	(3.766)	(8.899)	(8.820)	(8.767)
8.jy	JYear = 8, 1394	0.0351**	0.0350**	0.0350**	0.157***	0.156***	0.155***
		(2.007)	(2.005)	(2.009)	(10.18)	(10.11)	(10.06)
9.jy	JYear = 9, 1395	0.0662***	0.0661***	0.0661***	0.157***	0.156***	0.155***
		(4.087)	(4.085)	(4.092)	(10.15)	(10.08)	(10.04)
10.jy	JYear = 10, 1396	0.0499***	0.0499***	0.0499***	0.181***	0.180***	0.180***
		(2.873)	(2.870)	(2.875)	(11.51)	(11.46)	(11.42)
11.jy	JYear = 11, 1397	-0.0162	-0.0162	-0.0162	0.193***	0.192***	0.191***
		(-0.847)	(-0.848)	(-0.851)	(11.57)	(11.48)	(11.42)
12.jy	JYear = 12, 1398	-0.0452***	-0.0452***	-0.0452***	0.251***	0.249***	0.248***
		(-2.711)	(-2.705)	(-2.706)	(13.77)	(13.63)	(13.52)
13.jy	JYear = 13, 1399	0.00978	0.00984	0.00990	0.241***	0.240***	0.239***
		(0.444)	(0.448)	(0.451)	(9.553)	(9.459)	(9.398)
14.jy	JYear = 14, 1400	0.0712***	0.0712***	0.0714***	0.174***	0.174***	0.174***
		(3.578)	(3.580)	(3.592)	(6.715)	(6.715)	(6.718)
15.jy	JYear = 15, 1401	0.0516*	0.0516*	0.0517*	0.114***	0.114***	0.114***
		(1.943)	(1.943)	(1.948)	(7.315)	(7.312)	(7.317)
Constant	Constant	0.0663***	0.0663***	0.0662***	-0.161***	-0.161***	-0.161***
		(4.256)	(4.258)	(4.258)	(-10.52)	(-10.51)	(-10.51)
							
Observations		985,407	985,407	985,407	985,407	985,407	985,407
R-squared		0.015	0.015	0.015	0.040	0.040	0.040
Number of groups		753	753	753	753	753	753
t-statistics in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
