	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	S	S	S	D	D	D
						
r1	-1.710***	-1.688***	-1.687***	-0.967***	-0.969***	-0.968***
	(-26.08)	(-25.51)	(-25.49)	(-24.66)	(-24.59)	(-24.53)
r2	0.00374	0.00479	0.00919	-0.404***	-0.405***	-0.406***
	(0.139)	(0.178)	(0.338)	(-13.64)	(-13.65)	(-13.57)
r6	0.0618***	0.0616***	0.0614***	0.00605	0.00601	0.00592
	(6.548)	(6.533)	(6.522)	(0.570)	(0.566)	(0.557)
r28	0.00961***	0.00957***	0.00955***	0.0243***	0.0242***	0.0242***
	(2.898)	(2.894)	(2.889)	(5.389)	(5.359)	(5.338)
						
Observations	985,407	985,407	985,407	985,407	985,407	985,407
R-squared	0.015	0.015	0.015	0.040	0.040	0.040
Number of groups	753	753	753	753	753	753
t-statistics in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
