		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	S	S	S	D	D	D
							
r1	R(-1)	-2.131***	-2.094***	-2.093***	0.654***	0.637***	0.637***
		(-25.37)	(-24.86)	(-24.85)	(23.95)	(23.33)	(23.33)
r2	R(-5, -2)	0.0303	0.0324	0.0394	0.0292**	0.0280**	0.0247*
		(0.942)	(1.007)	(1.215)	(2.305)	(2.211)	(1.944)
r6	R(-27, -6)	0.0681***	0.0678***	0.0677***	-0.0290***	-0.0289***	-0.0288***
		(5.697)	(5.681)	(5.677)	(-5.501)	(-5.488)	(-5.488)
r28	R(-119, -28)	0.00579	0.00576	0.00575	-0.00446**	-0.00446**	-0.00446**
		(1.390)	(1.389)	(1.392)	(-2.308)	(-2.320)	(-2.329)
2.nt	nt = 2, 2	-0.104***	-0.102***	-0.102***	0.0342***	0.0330***	0.0325***
		(-11.82)	(-12.42)	(-12.84)	(9.110)	(9.397)	(9.572)
3.nt	nt = 3, 3	0.0498***	0.0509***	0.0514***	-0.000542	-0.00162	-0.00205
		(7.010)	(7.676)	(7.943)	(-0.189)	(-0.615)	(-0.808)
2.l1nt	l1nt = 2, 2		-0.0357***	-0.0346***		0.0206***	0.0198***
			(-4.189)	(-4.313)		(6.485)	(6.666)
3.l1nt	l1nt = 3, 3		0.0195***	0.0205***		-0.00464*	-0.00539**
			(3.438)	(3.825)		(-1.891)	(-2.377)
2.l2nt	l2nt = 2, 2			-0.0223***			0.0125***
				(-2.896)			(4.160)
3.l2nt	l2nt = 3, 3			0.00592			-0.000506
				(0.871)			(-0.192)
2.wd	WeekDay = 2, 1	0.0154***	0.0155***	0.0155***	-0.00786***	-0.00798***	-0.00797***
		(2.680)	(2.694)	(2.693)	(-3.766)	(-3.818)	(-3.814)
3.wd	WeekDay = 3, 2	0.00784	0.00788	0.00796	-0.00399*	-0.00403*	-0.00409*
		(1.293)	(1.299)	(1.307)	(-1.678)	(-1.692)	(-1.717)
4.wd	WeekDay = 4, 3	0.0121*	0.0122*	0.0122*	-0.00469*	-0.00472*	-0.00472*
		(1.864)	(1.869)	(1.870)	(-1.828)	(-1.839)	(-1.842)
