	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	S	S	S	D	D	D
						
r1	-2.131***	-2.094***	-2.093***	0.654***	0.637***	0.637***
	(-25.37)	(-24.86)	(-24.85)	(23.95)	(23.33)	(23.33)
r2	0.0303	0.0324	0.0394	0.0292**	0.0280**	0.0247*
	(0.942)	(1.007)	(1.215)	(2.305)	(2.211)	(1.944)
r6	0.0681***	0.0678***	0.0677***	-0.0290***	-0.0289***	-0.0288***
	(5.697)	(5.681)	(5.677)	(-5.501)	(-5.488)	(-5.488)
r28	0.00579	0.00576	0.00575	-0.00446**	-0.00446**	-0.00446**
	(1.390)	(1.389)	(1.392)	(-2.308)	(-2.320)	(-2.329)
						
Observations	985,407	985,407	985,407	985,407	985,407	985,407
R-squared	0.021	0.021	0.021	0.016	0.016	0.016
Number of groups	753	753	753	753	753	753
t-statistics in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
